,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
184,ta,2.0,5.0,3.0,1.0,4.0,10.0,12.0,11.0,2.0,0.0,-5897.1,0.26,13.625,,,,,,
185,0.6222,0.0,-6385.5,-3.9163,3.7e-05,10.0,480.0,4.0,-0.072,0.0,,,,,,,,,,
186,fta,2.0,4.0,3.0,1.0,4.0,10.0,12.0,11.0,2.0,0.0,-4802.92,0.352,14.225,,,,,,
187,0.5797,3.9494e-05,-6459.3,-3.0881,3.7e-05,10.0,480.0,4.0,-0.072,0.0,,,,,,,,,,
188,tats,2.0,5.0,2.0,3.0,2.0,1.0,3.0,10.0,12.0,11.0,2.0,0.0,-5987.99,0.259,13.51,,,,
189,0.5495,3.6324e-05,-8606.6,-2.5153,3.7e-05,10.0,480.0,4.0,-0.072,0.0,,,,,,,,,,
190,kao,2.0,3.0,2.0,1.0,2.0,10.0,9.0,11.0,4.0,0.0,-4122.18,0.2037,9.934,,,,,,
191,0.4367,-3.4295e-05,-4055.9,-2.6991,5.1e-05,10.0,645.0,4.0,-0.09675,0.0,,,,,,,,,,
192,pre,1.0,7.0,2.0,3.0,2.0,1.0,3.0,10.0,12.0,11.0,2.0,0.0,-6203.18,0.2928,14.026,,,,
193,0.7249,-1.3865e-05,-2059.0,-6.3239,5.1e-05,10.0,835.0,4.0,-0.12525,0.0,,,,,,,,,,
194,chr,3.0,5.0,3.0,1.0,2.0,10.0,9.0,11.0,4.0,0.0,-4359.03,0.2213,10.746,,,,,,
195,0.6247,-2.077e-05,-1721.8,-5.6194,4.7e-05,10.0,525.0,4.0,-0.07875,0.0,,,,,,,,,,
196,atg,48.0,5.0,48.0,1.0,34.0,10.0,147.0,11.0,62.0,0.0,-71424.31,3.591,175.48,,,,,,
197,9.621,-9.1183e-05,-35941.6,-83.0342,4.7e-05,10.0,525.0,4.0,-0.07875,0.0,,,,,,,,,,
198,ab,1.0,8.0,1.0,3.0,1.0,1.0,3.0,10.0,8.0,0.0,-3934.56,0.2101,10.006,,,,,,
199,0.452,-1.3364e-05,-1275.9,-3.9536,4.56e-05,10.0,593.0,4.0,-0.08895,1.0,950.0,0.016,0.124,,,,,,,
200,abh,1.0,8.0,1.0,3.0,1.0,1.0,3.0,10.0,8.0,0.0,-3924.8,0.2234,10.109,,,,,,
201,0.452,-1.3364e-05,-1275.9,-3.9536,4.56e-05,10.0,593.0,4.0,-0.08895,0.0,,,,,,,,,,
